"ID","國家","檢核日期","確診數","死亡數","解除隔離數","隔離中人數","解封指數","7天平均解封指數","7天平均新增確診數","14天平均新增確診數","交流距離"
"61001","TW/Taiwan","2021-06-04","10446","187","1133","9126","8.388","7.084","447.29","521.93","3954.68"
"61002","TW/Taiwan","2021-06-03","9974","166","1133","8675","7.952","6.675","459.00","510.64","3978.73"
"61003","TW/Taiwan","2021-06-02","9389","149","1133","8107","7.420","6.256","471.14","489.71","3868.99"
"61004","TW/Taiwan","2021-06-01","8842","137","1133","7572","6.927","5.827","483.71","470.14","3777.01"
"61005","TW/Taiwan","2021-05-31","8511","124","1133","7254","6.623","5.387","513.43","463.86","3901.26"
"61006","TW/Taiwan","2021-05-30","8160","109","1133","6918","6.300","4.922","548.29","462.71","3995.93"
"61007","TW/Taiwan","2021-05-29","7806","99","1133","6574","5.978","4.427","563.43","452.21","4076.34"
"61008","TW/Taiwan","2021-05-28","7315","78","1133","6104","5.526","3.919","596.57","430.36","3989.27"
"61009","TW/Taiwan","2021-05-27","6761","59","1133","5569","5.020","3.384","562.29","393.21","3803.93"
"61010","TW/Taiwan","2021-05-26","6091","46","1133","4912","4.417","2.883","508.29","347.14","3459.33"
"61011","TW/Taiwan","2021-05-25","5456","35","1133","4288","3.847","2.430","456.57","303.29","3108.14"
"61012","TW/Taiwan","2021-05-24","4917","29","1133","3755","3.366","2.027","414.29","265.57","2818.00"
"61013","TW/Taiwan","2021-05-23","4322","23","1133","3166","2.835","1.662","377.14","224.14","2432.26"
"61014","TW/Taiwan","2021-05-22","3862","17","1133","2712","2.424","1.332","341.00","191.36","2151.20"
"61015","TW/Taiwan","2021-05-21","3139","15","1133","1991","1.784","1.033","264.14","140.07","1559.27"
"61016","TW/Taiwan","2021-05-20","2825","15","1133","1677","1.507","0.804","224.14","118.00","1356.27"
"61017","TW/Taiwan","2021-05-19","2533","14","1133","1386","1.248","0.611","186.00","98.07","1156.26"
"61018","TW/Taiwan","2021-05-18","2260","14","1127","1119","1.018","0.451","150.00","79.07","957.60"
"61019","TW/Taiwan","2021-05-17","2017","12","1123","882","0.807","0.321","116.86","62.29","773.27"
"61020","TW/Taiwan","2021-05-16","1682","12","1116","554","0.518","0.221","71.14","38.93","474.93"
"61021","TW/Taiwan","2021-05-15","1475","12","1116","347","0.333","0.161","41.71","24.50","291.07"
"61022","TW/Taiwan","2021-05-14","1290","12","1107","171","0.176","0.128","16.00","11.57","117.34"
"61023","TW/Taiwan","2021-05-13","1256","12","1102","142","0.151","0.118","11.86","9.64","92.65"
