醫事機構代碼,醫事機構名稱,醫事機構地址,address_clean,latitude,longitude,醫事機構電話,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
592202A054,萬泰藥師藥局,嘉義市西區民族路４９４號,嘉義市西區民族路494號,23.4760059,120.4489869,(05)2168605,3888,1790,2020/09/15 21:44:46
592202A241,博愛藥局,嘉義市西區小湖里博愛路二段２７７之１號,嘉義市西區小湖里博愛路二段277–1號,23.480236,120.440159,(05)2330292,3240,585,2020/09/15 21:44:46
592202A296,秉原藥局,嘉義市西區書院里民族路７００號,嘉義市西區書院里民族路700號,23.4755677,120.4435451,(05)2285811,4572,0,2020/09/15 21:44:46
592202A330,永明藥局,嘉義市西區中山路６０８號１樓,嘉義市西區中山路608號1樓,23.4776353,120.4404679,(05)2286339,3635,659,2020/09/15 21:44:46
592202A349,力健藥局,嘉義市西區文化路５９１號,嘉義市西區文化路591號,23.4934981,120.4442817,(05)2323217,1202,1075,2020/09/15 21:44:46
592202A358,國豐藥局,嘉義市西區北興街２４５－２號１樓,嘉義市西區北興街245-2號1樓,23.4854934,120.4382935,(05)2318473,2430,1867,2020/09/15 21:44:46
592202A465,廣元藥局,嘉義市西區民安里中正路６９７號,嘉義市西區民安里中正路697號,23.4782873,120.4419914,(05)2252733,3543,1677,2020/09/15 21:44:46
592202A518,徠的安藥師藥局,嘉義市西區保安里世賢路１段６鄰５４９號,嘉義市西區保安里世賢路1段6鄰549號,23.4961785,120.4508403,(05)2318532,3464,0,2020/09/15 21:44:46
593106A011,八德藥局,新北市新莊區八德街３號２樓,新北市新莊區八德街3號2樓,25.022685,121.425618,(02)22071315,14068,1580,2020/09/15 21:44:46
593106A039,大仁藥局,新北市新莊區公園一路３２號１樓,新北市新莊區公園一路32號1樓,25.0353735,121.443547,(02)22776023,14932,1910,2020/09/15 21:44:46
593106A093,環球藥局,新北市新莊區中港路４３６號１、２樓,新北市新莊區中港路436號1、2樓,25.0510324,121.4520223,(02)29901934,5117,510,2020/09/15 21:44:46
593106A137,力源藥局,新北市新莊區復興路２段１３３號１樓,新北市新莊區復興路2段133號1樓,25.0444718,121.4571814,(02)89929919,18,27,2020/09/15 21:44:46
593106A155,日榮藥局,新北市新莊區龍安路４６１號１樓,新北市新莊區龍安路461號1樓,25.0186699,121.424838,(02)22051523,6052,1434,2020/09/15 21:44:46
593106A173,華泰藥局,新北市新莊區昌明街８０號１樓,新北市新莊區昌明街80號1樓,25.0524215,121.4550049,(02)89928500,8881,3135,2020/09/15 21:44:46
593106A182,和昌藥局,新北市新莊區中安街１５號１樓,新北市新莊區中安街15號1樓,25.0460082,121.4529883,(02)29900669,12628,678,2020/09/15 21:44:46
593106A226,詠康聯合藥局,新北市新莊區中榮街６６巷１號１樓,新北市新莊區中榮街66巷1號1樓,25.0530996,121.448613,(02)29964436,18742,1590,2020/09/15 21:44:46
593106A244,巧心藥局,新北市新莊區建中街９２號１樓,新北市新莊區建中街92號1樓,25.0367666,121.4468045,(02)22778584,5824,260,2020/09/15 21:44:46
